"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Roche","ROG.SW","274534667348","342.119","Switzerland"
"2","Novartis","NVS","248234033152","128.23","Switzerland"
"3","Nestlé","NESN.SW","243399529386","94.6079","Switzerland"
"4","UBS","UBS","126006591488","39.76","Switzerland"
"5","ABB","ABBN.SW","124331254692","68.225","Switzerland"
"6","Chubb","CB","110923530240","278.22","Switzerland"
"7","Compagnie Financière Richemont","CFR.SW","103056996560","175.285","Switzerland"
"8","Zurich Insurance Group","ZURN.SW","102166381634","718.04","Switzerland"
"9","TE Connectivity","TEL","60863377408","205.98","Switzerland"
"10","Swiss Re","SREN.SW","52039555326","176.963","Switzerland"
"11","Lonza","LONN.SW","50489418689","719.78","Switzerland"
"12","Glencore","GLCNF","46849441792","3.87","Switzerland"
"13","Garmin","GRMN","45603753984","236.91","Switzerland"
"14","Holcim Group","HOLN.SW","45262344672","82.1434","Switzerland"
"15","Galderma Group","GALD.SW","41175692766","175.347","Switzerland"
"16","Givaudan","GIVN.SW","40520899813","4390.51","Switzerland"
"17","Alcon","ALC","38919168000","78.72","Switzerland"
"18","Schindler Group","SCHN.SW","38798855783","356.038","Switzerland"
"19","Swisscom","SCMN.SW","37562799767","725.124","Switzerland"
"20","Sika","SIKA.SW","36537728293","227.727","Switzerland"
"21","Chocoladefabriken Lindt &amp; Sprüngli","LISP.SW","35878260028","15732.8","Switzerland"
"22","Partners Group","PGHN.SW","34603096321","1334.05","Switzerland"
"23","Swiss Life","SLHN.SW","30099624026","1055.06","Switzerland"
"24","Sandoz Group","SDZ.SW","26553241588","61.6511","Switzerland"
"25","DSM-Firmenich","DSFIR.AS","24869007043","95.1771","Switzerland"
"26","Geberit","GEBN.SW","24127047879","731.959","Switzerland"
"27","Kühne + Nagel","KNIN.SW","24057824263","202.625","Switzerland"
"28","STMicroelectronics","STM","23191103488","25.8","Switzerland"
"29","SGS","SGSN.SW","19917315931","102.897","Switzerland"
"30","Amcor","AMCR","19245580288","8.35","Switzerland"
"31","Straumann","STMN.SW","18681779111","117.163","Switzerland"
"32","Coca-Cola HBC","CCH.L","18318035777","50.3924","Switzerland"
"33","Ems-Chemie","EMSN.SW","17817367050","761.784","Switzerland"
"34","Sonova","SOON.SW","17504095764","293.653","Switzerland"
"35","Logitech","LOGI","15382121472","104.43","Switzerland"
"36","On Holding","ONON","14628946944","44.8","Switzerland"
"37","Julius Bär","BAER.SW","14556886113","71.0584","Switzerland"
"38","Helvetia Holding","HELN.SW","13213534637","249.786","Switzerland"
"39","BELIMO Holding","BEAN.SW","12763196824","1037.67","Switzerland"
"40","Bâloise","BALN.SW","11431616341","251.277","Switzerland"
"41","Swiss Prime Site","SPSN.SW","11147197348","138.935","Switzerland"
"42","BKW AG","BKW.SW","10707069122","202.935","Switzerland"
"43","Banque Cantonale Vaudoise","BCVN.SW","10094287159","117.499","Switzerland"
